rowId,parentDocId,prodId,price,qty,catId,plusInsurance,carNo,prodPriceRowId,prodStockRowId,insurancePrice,accessoriesHelmet,accessoriesRaincoat,accessoriesHelmetFull,fromVoltage,toVoltage,fromSoc,toSoc
2687,17050523758850835,16124993747740688,650,1,3,0,EMD-8107,70,72,0,1,1,0,,,,
2688,17050526371640654,16124993747740688,220,1,3,0,EMD-8107,70,72,0,1,1,0,,,,
2689,17055459263510710,16124993747740688,500,1,3,0,EMD-8107,70,72,0,1,1,0,,,,
2690,17055460123610945,16124993747740688,650,1,3,0,EMD-8107,70,72,0,1,1,0,,,,
2691,17055668546810177,16836163627800754,690,1,16,1,NVH-3779,74,92,,1,1,0,,,,
2692,17056482176910779,,650,1,1,,,86,71,,,,,,,,
2693,17056482250190833,16124993747740688,-90,1,3,0,EMD-8107,70,72,,1,1,0,,,,
2694,17056487398930175,,1500,1,3,,,70,72,,,,,,,,
2695,17056487966880252,,1100,1,6,,,72,90,,,,,,,,
2696,17056488466890836,,1100,1,6,,,72,90,,,,,,,,
2697,17056498475670551,,550,1,6,,,72,90,,,,,,,,
2698,17073650339400230,,1300,1,3,,,70,72,,,,,,,,
2699,17073652468080369,,1950,1,3,,,70,72,,,,,,,,
2700,17073653949480358,,1300,1,1,,,86,71,,,,,,,,
2701,17085695774100439,,650,1,3,,,70,72,,,,,,,,
2702,17085696467670036,,550,1,6,,,72,90,,,,,,,,
2703,17104692812350450,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2704,17104694282870135,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2705,17104694631200141,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2706,17104695982220027,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2707,17104699024300202,16184526299930124,650,1,3,0,EMD-6831,84,97,0,1,1,0,,,,
2708,17104699099160570,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2709,17104699175250152,16124993747740688,650,1,3,0,EMD-8107,89,99,0,1,1,0,,,,
2710,17104702564250686,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2711,17104703360240767,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2712,17104704288830507,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2713,17104705171710739,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2714,17104706471220889,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
2715,17104707331720777,16184522797870235,650,1,3,0,EMD-6812,85,98,0,1,1,0,,,,
